Player,Player_cleaned,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,CK,CkIn,CkOut,CkStr,TI,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,player_name,height_in_cm,mean_market_value_per_player,player_name_cleaned
Catena,Catena,ESP,DF,Rayo Vallecano,La Liga,27,1994,36,36,3240,36,0.06,0.61,0.17,27.3,0.09,0.33,9.9,0,0,0,82.7,988.3,367.8,8.06,9.19,87.6,18.1,19.9,91.2,11.9,16.7,71.5,0.06,0.19,2.39,0.06,0,2.03,46.4,44,2.44,2.42,0.03,2.86,0.14,0,0,0,0,0.03,38.4,0.19,0.42,0.69,0.47,0.06,0,0.06,0.06,0.06,0.08,0.06,0,0,0.03,0,0,1,0.61,0.58,0.42,0,0.56,1,55.6,0.44,1.39,0.75,0.64,1.53,2.53,5.33,0,56.2,9.42,33.3,24.3,1.5,1.06,53.9,31.1,155.4,86.1,1.06,0.08,0,0.14,0.11,34.7,0.11,0.22,0,0,0.75,0.44,0.08,0,0.03,0,9.14,3.58,1.47,70.9,Alejandro Catena,194,4000000,Alejandro Catena
Emil Ceide,Emil Ceide,NOR,FWDF,Sassuolo,Serie A,20,2001,6,0,53,0.6,0,0,0,0,0,0,0,0,0,0,52,293.3,116.7,10,15,66.7,10,15,66.7,0,1.67,0,0,0,0,3.33,0,6.67,41.7,36.7,5,0,0,0,0,1.67,0,0,0,1.67,21.7,0,6.67,1.67,1.67,0,0,0,0,0,0,0,0,0,0,0,0,6.67,3.33,3.33,3.33,0,3.33,3.33,100,0,0,0,0,3.33,10,1.67,0,71.7,0,6.67,30,36.7,6.67,66.7,45,228.3,150,10,0,3.33,5,6.67,45,5,0,0,0,0,0,0,0,0,0,6.67,5,6.67,42.9,Emil Konradsen Ceide,175,2000000,Emil Konradsen Ceide
Leonardo César Jardim,Leonardo Cesar Jardim,BRA,GK,Lille,Ligue 1,27,1995,17,17,1530,17,0,0,0,0,0,0,0,0,0,0,64.1,521.9,364.7,3.41,3.41,100,6.06,6.06,100,6.76,15.9,42.4,0,0,0.18,0,0,0,25.6,16.9,8.65,1.29,0,0.41,0,0,0,0,0,0,16.4,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,28.3,25.1,28.2,0.12,0,0,19.6,11.1,47.7,25.2,0,0,0,0,0,10.8,0,0,0,0,0,0.24,0,0,0,0,3.94,0,0,0,Léo Jardim,188,4000000,Leo Jardim
Julian Chabot,Julian Chabot,GER,DF,Sampdoria,Serie A,24,1998,11,4,490,5.4,0,0.56,0.19,33.3,0,0,10.1,0,0,0,82.4,880.7,317.2,9.81,10.9,89.8,18.3,20,91.7,8.89,14.1,63.2,0,0,2.78,0.19,0,3.52,45.4,41.5,3.89,2.59,0,2.04,0,0,0,0,0,1.3,37.4,0.37,0,0.19,0,0,0,0,0.19,0,0,0,0,0,0,0,0,2.59,1.3,1.67,0.93,0,1.3,2.04,63.6,0.74,2.22,0.74,1.48,2.22,4.81,5.93,0,58.9,9.26,31.1,30,1.67,0.74,55.6,33.7,168.5,97,1.67,0.19,0,0,0.56,31.9,0.19,0.93,0,0,2.22,2.22,0,0,0,0,10,3.89,2.41,61.8,Jeff Chabot,195,2000000,Jeff Chabot
Julian Chabot,Julian Chabot,GER,DF,Köln,Bundesliga,24,1998,4,2,209,2.3,0,0,0,0,0,0,0,0,0,0,80,1192.6,353.9,13.5,17,79.5,26.5,30,88.4,12.2,18.3,66.7,0,0,2.17,0.43,0,2.61,65.2,60.9,4.35,3.04,0,3.04,0,0,0,0,0,0.87,52.2,0,0.43,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,0,2.17,1.3,0.87,1.3,0,0.87,3.04,28.6,2.17,2.17,0.87,1.3,2.17,4.35,8.26,0,78.7,9.13,44.3,36.1,1.74,0.43,75.2,40,170.9,84.8,0.87,0,0,0.43,0,44.8,0,0.43,0,0,2.17,2.61,0,0,0,0,14.3,9.57,4.35,68.8,Jeff Chabot,195,2000000,Jeff Chabot
Kayky Chagas,Kayky Chagas,BRA,FW,Manchester City,Premier League,18,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,100,320,0,10,10,100,10,10,100,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,20,20,0,30,30,400,290,10,10,0,10,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kayky,172,12000000,Kayky
Chapela,Chapela,ESP,MFFW,Cádiz,La Liga,23,1999,9,4,398,4.4,0,0.68,0,0,0,0,22.5,0,0,0,62.2,297.3,140.7,3.41,5.23,65.2,5.91,8.18,72.2,2.73,5.45,50,0,0.45,2.27,0.23,0,3.18,20.5,20.2,0.23,0,0,1.82,2.05,0.23,0.23,0,0,0,12.7,0,1.14,1.14,0.91,0,0,0,0.23,0,0.23,0.23,0,0,0,0,0,1.59,0.68,0.45,0.23,0.91,0,1.14,0,1.14,1.59,0.23,1.36,1.36,2.95,1.14,0,30.5,1.59,9.09,14.1,9.77,0.91,30.2,19.1,124.3,77.5,2.5,0.91,0,1.82,0.91,15.9,1.82,0,0,0,1.14,1.82,0.23,0,0,0,7.5,1.14,1.36,45.5,Ivan Chapela,181,600000,Ivan Chapela
Chema,Chema,ESP,MF,Getafe,La Liga,30,1992,1,1,45,0.5,0,2,0,0,0,0,26,0,0,0,60,434,144,8,8,100,2,6,33.3,8,16,50,0,2,2,0,0,0,30,26,4,4,0,2,0,0,0,0,0,0,18,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,32,4,6,22,4,0,28,12,62,26,0,0,0,0,0,14,2,2,2,0,4,0,0,0,0,0,12,2,0,100,Chema Rodríguez,189,800000,Chema Rodriguez
Cucho,Cucho,COL,FWMF,Watford,Premier League,23,1999,25,11,1147,12.7,0.39,2.76,0.79,28.6,0.14,0.5,18.7,0.39,0,0,64.5,357.5,126.3,9.92,12.9,76.8,6.3,9.06,69.6,3.07,6.3,48.8,0.16,1.5,1.73,1.18,0.47,2.6,31,27.9,3.15,0.63,0.24,1.42,2.05,1.18,0.47,0.55,0,0.55,20,0,2.2,3.15,2.05,0.31,0.39,0.24,0.08,0.08,0.47,0.24,0.08,0,0.08,0,0.08,1.26,0.39,0.63,0.47,0.16,0.31,2.52,12.5,2.2,0.94,0.08,0.87,0.87,2.13,0.79,0,43.9,1.34,7.09,18,22.4,2.99,40.4,28.8,154.9,85.1,4.33,1.5,0.55,2.2,1.34,28.3,4.41,0.24,0,0,1.5,1.02,0.08,0,0,0.08,7.01,3.07,3.86,44.3,Cucho Hernández,176,9000000,Cucho Hernandez
Mickaël Cuisance,Mickael Cuisance,FRA,MF,Venezia,Serie A,22,1999,13,13,918,10.2,0,0.59,0.1,16.7,0,0,20.3,0.2,0,0,77.7,549.2,147.5,11.3,13.1,85.8,11.8,14.6,80.5,4.61,7.06,65.3,0,0.98,3.24,0.69,0,2.75,36,33.4,2.55,0.98,0.1,1.08,0.78,0.88,0.39,0.29,0.1,0.29,27.9,0,0.69,2.06,1.67,0.1,0,0.2,0.1,0,0.1,0.1,0,0,0,0,0,1.76,1.18,0.49,0.98,0.29,0.88,2.35,37.5,1.47,1.86,0,1.86,1.96,3.73,0.39,0,47.7,0.39,10.3,27.3,13.7,0.59,45.1,33.2,148.7,68,3.24,1.08,0.1,0.88,2.84,29.8,2.65,0.2,0,0,1.47,0.98,0.1,0,0.1,0,8.33,1.27,1.08,54.2,Michaël Cuisance,181,4000000,Michael Cuisance
